"Package","Version"
"tseries","0.10-60"
"tsne","0.1-3.1"
"tweedie","3.0.17"
"tweenr","2.0.3"
"twosamples","2.0.1"
"tzdb","0.5.0"
"ucminf","1.2.2"
"umap","0.2.10.0"
"units","1.0-0"
"urlchecker","1.0.1"
"urltools","1.7.3.1"
"usethis","3.1.0"
"utf8","1.2.6"
"utils","4.0.5"
"uuid","1.2-2"
"uwot","0.1.16"
"varImp","0.4"
"variables","1.1-2"
"vcd","1.4-13"
"vctrs","0.7.1"
"vdiffr","1.0.9"
"vegan","2.6-4"
"velocyto.R","0.6"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.3"
"visNetwork","2.1.4"
"vroom","1.6.5"
"vsn","3.58.0"
"waldo","0.6.2"
"warp","0.2.3"
"webfakes","1.4.0"
"webshot","0.5.5"
"webshot2","0.1.2"
"websocket","1.4.4"
"webutils","1.2.2"
"whisker","0.4.1"
"withr","3.0.2"
"wk","0.9.5"
"wrGraph","1.3.12"
"wrMisc","2.0.0"
"writexl","1.5.4"
"xfun","0.56"
"xml2","1.5.2"
"xopen","1.0.1"
"xtable","1.8-8"
"xts","0.14.2"
"yaml","2.3.12"
"yulab.utils","0.1.5"
"zeallot","0.2.0"
"zigg","0.0.2"
"zip","2.3.3"
"zlibbioc","1.36.0"
"zoo","1.8-15"
